State/City, Country, price_range, weather, time, people
Ontorio,Canada, $1000-$1500, cold, one month, 4 or more
Riyadh,Saudi Arabia, $1000-$1500, hot, one month, one
Cancun,Mexico, $1000-$1500, hot, one month, 2
Gao,Mali, $1000-$1500, hot, one month, 3
Mopti,Mali, $1000-$1500, hot, one month, 4 or more
Copenhagen,Denmark, $1000-$1500, rainy, one month, one
Podgorica,Montenegro, $1000-$1500, rainy, one month, 2
Hawaii,United States, $1000-$1500, rainy, one month, 3
Cayenne,French Guiana,,$1000-$1500, rainy, one month, 4 or more
Yukutia,Russia, $1500-$2000, cold, one month, one
El Valle de anton,Panama, $1500-$2000, cold, one month, 2
Kamchatka,Russia, $1500-$2000, cold, one month, 3
Alberta,Canada, $1500-$2000, cold, one month, 4 or more
Segou,Mali, $1500-$2000, hot, one month, one
Bamako,Mali, $1500-$2000, hot, one month, 2
Dakar,Senegal, $1500-$2000, hot, one month, 3
Thies,Senegal, $1500-$2000, hot, one month, 4 or more
Borongan,Philippines, $1500-$2000, rainy, one month, one
Bergen,Norway, $1500-$2000, rainy, one month, 2
New York,United States, $1500-$2000, rainy, one month, 3
Washington,United States, $1500-$2000, rainy, one month, 4 or more
Chiriqui,Panama, more than $2000, cold, one month, one
Gegharkuni,Armenia, more than $2000, cold, one month, 2
Ontorio,Canada, more than $2000, cold, one month, 3
Perm,Russia, more than $2000, cold, one month, 4 or more
San Lorenzo,Puerto Rico, more than $2000, hot, one month, one
Faversham,Kent, more than $2000, hot, one month, 2
Coningsby,Lincolnshire, more than $2000, hot, one month, 3
Pitsford,Northamptonshire, more than $2000, hot, one month, 4 or more
Borongan,Philippines, more than $2000, rainy, one month, one
Mawlamyine,Myanmarmore, than $2000, rainy, one month, 2
Finch-hatton,Australia, more than $2000, rainy, one month, 3
Taipei,Taiwan, more than $2000, rainy, one month, 4 or more
Northern Savonia,Finland, $500-$1000, cold, more than one month, one
North Karelia,Finland, $500-$1000, cold, more than one month, 2
Ulaanbaatar,Mongolia, $500-$1000, cold, more than one month, 3
Klinck station,Greenland, $500-$1000, cold, more than one month, 4 or more
Baja California,Mexico, $500-$1000, hot, more than one month, one
Queensland,Australia, $500-$1000, hot, more than one month, 2
Cairns,Australia, $500-$1000, hot, more than one month, 3
Amazonas,Brazil, $500-$1000, hot, more than one month, 4 or more
Quibdó,Colombia, $500-$1000, rainy, more than one month, one
Tutunendo,Colombia, $500-$1000, rainy, more than one month, 2
Bergen,Norway, $500-$1000, rainy, more than one month, 3
San Vito,Costa Rica, $500-$1000, rainy, more than one month, 4 or more
Kainuu,Finland, $1000-$1500, cold, more than one month, one
Lapland,Finland, $1000-$1500, cold, more than one month, 2
Omsk,Russia, $1000-$1500, cold, more than one month, 3
Harju,Estonia, $1000-$1500, cold, more than one month, 4 or more
Mecca,Saudi Arabia, $1000-$1500, hot, more than one month, one
Bahia,Brazil, $1000-$1500, hot, more than one month, 2
Ceara,Brazil, $1000-$1500, hot, more than one month, 3
Sonora,Mexico, $1000-$1500, hot, more than one month, 4 or more
Quito,Ecuador, $1000-$1500, rainy, more than one month, one
Banos,Ecuador, $1000-$1500, rainy, more than one month, 2
Douala,Cameroon, $1000-$1500, rainy, more than one month, 3
Buenaventura,Colombia, $1000-$1500, rainy, more than one month, 4 or more
Labrador,Canada, $1500-$2000, cold, more than one month, one
Nordland,Norway, $1500-$2000, cold, more than one month, 2
Troms,Norway, $1500-$2000, cold, more than one month, 3
Oymyako,Russia, $1500-$2000, cold, more than one month, 4 or more 
New Mexico,United States, $1500-$2000, hot, more than one month, one
Texas,United States, $1500-$2000, hot, more than one month, 2
Rajasthan,India, $1500-$2000, hot, more than one month, 3
Riyadh,Saudi Arabia, $1500-$2000, hot, more than one month, 4 or more
Quibdó,Colombia, $1500-$2000, rainy, more than one month, one
Manizales,Colombia, $1500-$2000, rainy, more than one month, 2
Sangolqui,Ecuador, $1500-$2000, rainy, more than one month, 3
San Pedro Sula,Honduras, $1500-$2000, rainy, more than one month, 4 or more
Akureyri,Iceland, more than $2000, cold, more than one month, one
Lake Titicaca,Peru, more than $2000, cold, more than one month, 2
Yellowknife,Canada, more than $2000, cold, more than one month, 3
Yukon,Canada, more than $2000, cold, more than one month, 4 or more
San Jose,Costa RIca, more than $2000, hot, more than one month, one
Baa,Maldives, more than $2000, hot, more than one month, 2
Berry Islands,Bahamas, more than $2000, hot, more than one month, 3
Orange Walk District,Belize, more than $2000, hot, more than one month, 4 or more
Port Antonio,Jamaica, more than $2000, rainy, more than one month, one
Freeport,Bahamas, more than $2000, rainy, more than one month, 2
Prince Rupert,Canada, more than $2000, rainy, more than one month, 3
Mawlamyine,Myanmarmore, than $2000, rainy, more than one month, 4 or more
