,,,10. Optimization,,,,,10. Biochemistry ,10. Carbon ,,10. Crypto currency,10. Carbon ,Visit https://engineering.ucmerced.edu/faculty/by-department?field_people_departments_taxonom_tid=1371 for more information,10. Cyber - physical systems ,Visit https://ssha.ucmerced.edu/faculty?combine=&field_people_discipline_tid=1 for more information,,,,,,
,,,11. Signal Processing,,,,,11. Proteins ,11. Pollution ,,11. Algorithms ,11. Pollution ,,11. Fractional calculus ,,,,,,,
,,,12. Data Science,,,,,12. Biosensors ,12. Seismic analysis ,,12. Networks ,12. Seismic analysis ,,12. PEM fuel cells ,,,,,,,
,,,13. Machine Learning,,,,,13. Tissues ,13. Buildings/ bridges,,Visit https://engineering.ucmerced.edu/faculty/by-department?field_people_departments_taxonom_tid=2961 for more information,13. Buildings/ bridges,,13. Heat transfer,,,,,,,
,,,14. Linear Algebra,,,,,14. Transplantation ,14. Dynamics of structures ,,,14. Dynamics of structures ,,14. Porous materials ,,,,,,,
,,,15. Computational science,,,,,15. Biomaterials,15. Groundwater ,,,15. Groundwater ,,15. Carbon Fiber ,,,,,,,
,,,Visit https://appliedmath.ucmerced.edu/faculty for more information,,,,,16. Polymers,16. Aquatic systems ,,,16. Aquatic systems ,,16. Wildfires ,,,,,,,
,,,,,,,,17. Biolubrication ,17. Environmental sensors ,,,17. Environmental sensors ,,17. Data Science,,,,,,,
,,,,,,,,18. Mechanobiology,18. Geospatial analytics,,,18. Geospatial analytics,,18. Structural Analysis ,,,,,,,
,,,,,,,,19. Bioadhesion ,19. Climate change ,,,19. Climate change ,,19. Composite structure ,,,,,,,
,,,,,,,,20. DNA ,20. Agriculture,,,20. Agriculture,,20. Energy ,,,,,,,
,,,,,,,,21. Drugs ,21. Waste Sites ,,,21. Waste Sites ,,21. Vibrations ,,,,,,,
,,,,,,,,22. 3D printing ,22. Impact / Risk Analysis ,,,22. Impact / Risk Analysis ,,22. Dynamics ,,,,,,,
,,,,,,,,23. Skin ,23. Modeling ,,,23. Modeling ,,23. Thermal systems ,,,,,,,
,,,,,,,,Visit https://engineering.ucmerced.edu/faculty/by-department?field_people_departments_taxonom_tid=1341 for more information,24. Antropology ,,,24. Antropology ,,24. Heat pumps ,,,,,,,
,,,,,,,,,25. Life cycle / Hygiene / Sanitation ,,,25. Life cycle / Hygiene / Sanitation ,,25. Agriculture ,,,,,,,
,,,,,,,,,26. Science Policy ,,,26. Science Policy ,,26. DNA & proteins ,,,,,,,
,,,,,,,,,27. Aerosols ,,,27. Aerosols ,,27. Biofilaments ,,,,,,,
,,,,,,,,,28. Snow/ Mountain Science ,,,28. Snow/ Mountain Science ,,28. Computational Mechanics ,,,,,,,
,,,,,,,,,Visit https://engineering.ucmerced.edu/faculty/by-department?field_people_departments_taxonom_tid=1361 for more information,,,Visit https://engineering.ucmerced.edu/faculty/by-department?field_people_departments_taxonom_tid=1361 for more information,,29. Engineering Education/ Learning ,,,,,,,
,,,,,,,,,,,,,,30. Electrochemistry ,,,,,,,
,,,,,,,,,,,,,,31. Water desalination ,,,,,,,
,,,,,,,,,,,,,,32. Water purification ,,,,,,,
,,,,,,,,,,,,,,33. Advanced Manufacturing ,,,,,,,
,,,,,,,,,,,,,,34. Robotic vehicles ,,,,,,,
,,,,,,,,,,,,,,35. Power conversion ,,,,,,,
,,,,,,,,,,,,,,36. Bio and natural materials ,,,,,,,
,,,,,,,,,,,,,,37. Automation ,,,,,,,
,,,,,,,,,,,,,,38. Sensors ,,,,,,,
,,,,,,,,,,,,,,39. Actuators,,,,,,,
,,,,,,,,,,,,,,40. Biomechanics ,,,,,,,
,,,,,,,,,,,,,,41. Physical rehabilitation ,,,,,,,
,,,,,,,,,,,,,,Visit https://engineering.ucmerced.edu/faculty/by-department?field_people_departments_taxonom_tid=1381 for more information,,,,,,,
